股票代码,股票名称,当前价格,涨跌额,市盈率(TTM),市值
PPDF,拍拍贷(NYSE:PPDF),5.33,+0.33,4.17,16.02亿
CPE,卡隆石油(NYSE:CPE),8.09,+0.49,6.17,18.44亿
CREX,CREATIVE REALITIES(NASDAQ:CREX),2.36,+0.14,-,2271.20万
DQ,大全新能源(NYSE:DQ),35.48,+2.03,11.53,4.56亿
FANG,Diamondback能源(NASDAQ:FANG),105.95,+6.03,20.63,174.16亿
CVM,CEL-SCI(AMEX:CVM),5.99,+0.34,亏损,1.77亿
CDEV,百年资源开发(NASDAQ:CDEV),9.55,+0.54,13.38,26.40亿
DVN,戴文能源(NYSE:DVN),33.00,+1.82,4.71,144.64亿
VIVE,Viveve Medical(NASDAQ:VIVE),0.613,+0.03,亏损,2839.83万
HJLI,Hancock Jaffe实验(NASDAQ:HJLI),2.31,+0.13,亏损,3272.74万
DMPI,DelMar制药(NASDAQ:DMPI),0.370,+0.02,亏损,941.04万
SHIP,Seanergy海事控股(NASDAQ:SHIP),4.45,+0.24,亏损,1228.07万
RIBT,米糠科技(NASDAQ:RIBT),3.18,+0.17,亏损,1.01亿
RNN,Rexahn制药(AMEX:RNN),5.83,+0.31,亏损,2.82亿
WPX,WPX能源(NYSE:WPX),14.17,+0.75,42.17,59.83亿
DQ,大全新能源(NYSE:DQ),35.35,+1.90,11.53,4.55亿
CATB,Catabasis制药(NASDAQ:CATB),9.50,+0.51,亏损,1.09亿
RNN,Rexahn制药(AMEX:RNN),5.83,+0.31,亏损,2.82亿
THM,国际塔山(AMEX:THM),0.489,+0.03,亏损,9161.00万
GH,Guardant Health(NASDAQ:GH),76.02,+3.93,亏损,65.32亿
ZYNE,Zynerba制药(NASDAQ:ZYNE),8.94,+0.45,亏损,1.88亿
HBM,Hudbay Minerals(正股)(NYSE:HBM),7.78,+0.39,22.97,20.33亿
CPG,Crescent Point(NYSE:CPG),4.22,+0.21,亏损,23.18亿
MDR,迈克德莫特国际(NYSE:MDR),9.07,+0.45,亏损,16.40亿
JAG,Jagged Peak Energy(NYSE:JAG),11.03,+0.55,14.02,23.53亿
